,news_id,category,sub_category,title,abstract,url,title_entities,abstract_entitites
31709,N3344,music,cma-awards,Top 100 country songs of all time,"Stacker counts down the top 100 country songs of all time. From old-school honky-tonk to modern country pop, this list covers the biggest hits in Billboard history.",https://assets.msn.com/labs/mind/BBVj9AW.html,"[{""Label"": ""Billboard Hot 100"", ""Type"": ""U"", ""WikidataId"": ""Q180072"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Top 100""]}]",[]
31748,N26262,entertainment,entertainment-celebrity,Celebrity plastic surgery transformations,"See how stars like Sharon Osbourne, Cardi B, Pauly D, Kim Zolciak-Biermann, Gisele Bundchen, Kanye West and others have altered their looks.",https://assets.msn.com/labs/mind/BBVcWey.html,[],"[{""Label"": ""Kim Zolciak-Biermann"", ""Type"": ""P"", ""WikidataId"": ""Q4193709"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [54], ""SurfaceForms"": [""Kim Zolciak-Biermann""]}, {""Label"": ""Cardi B"", ""Type"": ""P"", ""WikidataId"": ""Q29033668"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Cardi B""]}, {""Label"": ""Sharon Osbourne"", ""Type"": ""P"", ""WikidataId"": ""Q1806985"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Sharon Osbourne""]}, {""Label"": ""Pauly D"", ""Type"": ""P"", ""WikidataId"": ""Q2180911"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [45], ""SurfaceForms"": [""Pauly D""]}, {""Label"": ""Gisele B\u00fcndchen"", ""Type"": ""P"", ""WikidataId"": ""Q152208"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [76], ""SurfaceForms"": [""Gisele Bundchen""]}, {""Label"": ""Kanye West"", ""Type"": ""P"", ""WikidataId"": ""Q15935"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [93], ""SurfaceForms"": [""Kanye West""]}]"
31790,N45561,news,newsphotos,"Inside the world's largest plane, which has a wingspan longer than a football field and a mysterious new owner","The Stratolaunch is 238 feet long, 50 feet tall, and has a 385-foot wingspan. It made its first flight in April.",https://assets.msn.com/labs/mind/BBUmvkw.html,[],"[{""Label"": ""Stratolaunch Systems"", ""Type"": ""O"", ""WikidataId"": ""Q620534"", ""Confidence"": 0.965, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Stratolaunch""]}]"
31847,N3748,health,health-news,Science Says Men with This Body Type Have Healthier Hearts,A new study published in Scientific Reports indicates that a man's waist-to-height ratio may be a better predictor of cardiovascular disease than BMI.,https://assets.msn.com/labs/mind/BBSUOie.html,"[{""Label"": ""Science (journal)"", ""Type"": ""M"", ""WikidataId"": ""Q192864"", ""Confidence"": 0.939, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Science""]}]","[{""Label"": ""Scientific Reports"", ""Type"": ""M"", ""WikidataId"": ""Q2261792"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""Scientific Reports""]}, {""Label"": ""Broadcast Music, Inc."", ""Type"": ""O"", ""WikidataId"": ""Q891885"", ""Confidence"": 0.951, ""OccurrenceOffsets"": [146], ""SurfaceForms"": [""BMI""]}]"
31885,N47652,sports,football_nfl,Richard Sherman tells NFL players to save their money and prepare for a strike,,https://assets.msn.com/labs/mind/BBWLb3e.html,"[{""Label"": ""Richard Sherman (American football)"", ""Type"": ""P"", ""WikidataId"": ""Q2947411"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Richard Sherman""]}, {""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""NFL""]}]",[]
31887,N42266,lifestyle,lifestylehomeandgarden,"Stylish Living Room Ideas, From Floral to Family-Friendly",Bookmark this for the next time you need a refresh.,https://assets.msn.com/labs/mind/BBSYouL.html,"[{""Label"": ""Family-friendly"", ""Type"": ""U"", ""WikidataId"": ""Q5433004"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""Family-Friendly""]}]",[]
31893,N36182,autos,autosenthusiasts,Racing a 2020 Honda Civic Si: Five Fun Revelations From the Track,We love the new rev-limit warning,https://assets.msn.com/labs/mind/BBWGRiE.html,"[{""Label"": ""Honda Civic Si"", ""Type"": ""V"", ""WikidataId"": ""Q8214024"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Honda Civic Si""]}]",[]
31906,N25040,autos,autossuvs,2020 Lincoln Corsair Review: The Sleeper Hit of 2020 SUV of the Year Testing,Lincoln's small luxury SUV is a 2020 SUV of the Year finalist,https://assets.msn.com/labs/mind/BBWGRiP.html,"[{""Label"": ""Motor Trend Car of the Year"", ""Type"": ""U"", ""WikidataId"": ""Q6918171"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""SUV of the Year""]}, {""Label"": ""Sleeper hit"", ""Type"": ""C"", ""WikidataId"": ""Q7539815"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Sleeper Hit""]}]","[{""Label"": ""Motor Trend Car of the Year"", ""Type"": ""U"", ""WikidataId"": ""Q6918171"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""SUV of the Year""]}, {""Label"": ""Sport utility vehicle"", ""Type"": ""C"", ""WikidataId"": ""Q192152"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""SUV""]}]"
31955,N46029,news,newsworld,"How Russia Meddles Abroad for Profit: Cash, Trolls and a Cult Leader","The Russians were hard to miss. They appeared suddenly last year in Madagascar's traffic-snarled capital, carrying backpacks stuffed with cash and campaign swag decorated with the name of Madagascar's president.",https://assets.msn.com/labs/mind/BBWzgf2.html,"[{""Label"": ""Russia"", ""Type"": ""G"", ""WikidataId"": ""Q159"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Russia""]}]","[{""Label"": ""Madagascar"", ""Type"": ""G"", ""WikidataId"": ""Q1019"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [68, 188], ""SurfaceForms"": [""Madagascar"", ""Madagascar""]}, {""Label"": ""Russians"", ""Type"": ""Y"", ""WikidataId"": ""Q49542"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Russians""]}]"
31986,N6929,sports,football_nfl,49ers still don't know if Jimmy Garoppolo is Super Bowl-ready,,https://assets.msn.com/labs/mind/BBWDy2h.html,"[{""Label"": ""Jimmy Garoppolo"", ""Type"": ""P"", ""WikidataId"": ""Q15631945"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Jimmy Garoppolo""]}, {""Label"": ""Super Bowl"", ""Type"": ""E"", ""WikidataId"": ""Q32096"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [45], ""SurfaceForms"": [""Super Bowl""]}]",[]
32031,N20041,news,newsworld,Taliban to release 2 professors in prisoner swap,"Kevin King, a U.S. citizen, and Timothy Weeks were kidnapped at gunpoint from the American University of Afghanistan in Kabul in August 2016.",https://assets.msn.com/labs/mind/BBWDzUz.html,"[{""Label"": ""Taliban"", ""Type"": ""O"", ""WikidataId"": ""Q42418"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Taliban""]}]","[{""Label"": ""American University of Afghanistan"", ""Type"": ""O"", ""WikidataId"": ""Q3918332"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [82], ""SurfaceForms"": [""American University of Afghanistan""]}, {""Label"": ""Kabul"", ""Type"": ""G"", ""WikidataId"": ""Q5838"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [120], ""SurfaceForms"": [""Kabul""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""U.S.""]}]"
32042,N65118,health,wellness,How Long Is a Cold Contagious?,"Please, please, please work from home.",https://assets.msn.com/labs/mind/BBWACjR.html,[],[]
32096,N52180,news,newspolitics,"Roger Stone trial: Former top Trump official details campaign's dealings on WikiLeaks, and suggests Trump was in the know",Gates testifies he was told by Paul Manafort that Trump would be updated on disclosure of hacked Democratic emails as government rests its case.,https://assets.msn.com/labs/mind/BBWE0OX.html,"[{""Label"": ""Roger Stone"", ""Type"": ""P"", ""WikidataId"": ""Q7358961"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Roger Stone""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [30, 100], ""SurfaceForms"": [""Trump"", ""Trump""]}, {""Label"": ""WikiLeaks"", ""Type"": ""M"", ""WikidataId"": ""Q359"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [76], ""SurfaceForms"": [""WikiLeaks""]}]","[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [50], ""SurfaceForms"": [""Trump""]}, {""Label"": ""Rick Gates (political consultant)"", ""Type"": ""P"", ""WikidataId"": ""Q42429771"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Gates""]}, {""Label"": ""Paul Manafort"", ""Type"": ""P"", ""WikidataId"": ""Q3371760"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""Paul Manafort""]}]"
32143,N25444,autos,autosenthusiasts,"The McLaren Elva Is a $1.7 Million Topless, Windshield-less Hypercar",Limited-production model honors a classic Bruce McLaren sports car design,https://assets.msn.com/labs/mind/BBWGW7F.html,"[{""Label"": ""Elva (car manufacturer)"", ""Type"": ""O"", ""WikidataId"": ""Q731862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""McLaren Elva""]}]","[{""Label"": ""Bruce McLaren"", ""Type"": ""P"", ""WikidataId"": ""Q173081"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""Bruce McLaren""]}]"
32147,N15719,autos,autosenthusiasts,2020 Ford Mustang Shelby GT350 vs. GT500: Which Is the Better Sports Car?,"Is the $12,460 more costly GT500 a better sports car than the already great GT350?",https://assets.msn.com/labs/mind/BBWGW7k.html,"[{""Label"": ""Shelby Mustang"", ""Type"": ""V"", ""WikidataId"": ""Q282617"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18, 35], ""SurfaceForms"": [""Shelby GT350"", ""GT500""]}, {""Label"": ""Sports car"", ""Type"": ""C"", ""WikidataId"": ""Q274586"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Sports Car""]}, {""Label"": ""Ford Mustang"", ""Type"": ""V"", ""WikidataId"": ""Q183476"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Ford Mustang""]}]","[{""Label"": ""Shelby Mustang"", ""Type"": ""V"", ""WikidataId"": ""Q282617"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [27, 76], ""SurfaceForms"": [""GT500"", ""GT350""]}, {""Label"": ""Sports car"", ""Type"": ""C"", ""WikidataId"": ""Q274586"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""sports car""]}]"
32184,N64174,news,newscrime,Georgia executes man convicted of killing convenience store clerk,Georgia executes man convicted of killing convenience store clerk,https://assets.msn.com/labs/mind/BBWJ00F.html,[],[]
32219,N29155,news,newsworld,"UN urges Lebanon to build gov't of ""competence"", banks close","The United Nations urged Lebanon on Tuesday to form a competent new government better able to seek international aid after weeks of protests against the ruling elite, warning the country was in a critical financial and economic situation.",https://assets.msn.com/labs/mind/BBWE1pU.html,"[{""Label"": ""Lebanon"", ""Type"": ""G"", ""WikidataId"": ""Q822"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""Lebanon""]}, {""Label"": ""United Nations"", ""Type"": ""O"", ""WikidataId"": ""Q1065"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""UN""]}]","[{""Label"": ""Lebanon"", ""Type"": ""G"", ""WikidataId"": ""Q822"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""Lebanon""]}, {""Label"": ""United Nations"", ""Type"": ""O"", ""WikidataId"": ""Q1065"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""United Nations""]}]"
32226,N28585,news,newspolitics,Poll finds negative views of Democrats' and Trump's handling of impeachment inquiry,"The public favors open hearings over closed, according to a new CBS News poll. Views on impeachment are about the same as last month",https://assets.msn.com/labs/mind/BBWE1s7.html,"[{""Label"": ""Democratic Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29552"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Democrats""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [44], ""SurfaceForms"": [""Trump""]}]","[{""Label"": ""CBS News"", ""Type"": ""O"", ""WikidataId"": ""Q861764"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [64], ""SurfaceForms"": [""CBS News""]}]"
32330,N61463,entertainment,celebrity,Hailey Bieber Sends Aunt Hilaria Baldwin Love After Her Second Miscarriage,'I'm so sorry.',https://assets.msn.com/labs/mind/BBWE2hK.html,"[{""Label"": ""Alec Baldwin"", ""Type"": ""P"", ""WikidataId"": ""Q170572"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""Hilaria Baldwin""]}]",[]
32497,N33261,video,lifestyle,The Queen Had This Hilarious Reaction to (Unnecessary) Mouth-to-Mouth Resuscitation,The Queen had a hilarious reaction when someone tried to save her life. Buzz60's Keri Lumm reports.,https://assets.msn.com/labs/mind/BBWE3po.html,[],[]
32573,N8399,travel,video,"Could Amazon deliveries, food trucks be coming to national parks?","The federal government is apparently considering new proposals that would give visitors to America's national parks access to such urban comforts as Wi-Fi, food trucks and Amazon deliveries. NBC's Sam Brock reports for TODAY from Yosemite National Park.",https://assets.msn.com/labs/mind/BBWpGyQ.html,"[{""Label"": ""Amazon (company)"", ""Type"": ""O"", ""WikidataId"": ""Q3884"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""Amazon""]}]","[{""Label"": ""Yosemite National Park"", ""Type"": ""L"", ""WikidataId"": ""Q180402"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [230], ""SurfaceForms"": [""Yosemite National Park""]}, {""Label"": ""Amazon (company)"", ""Type"": ""O"", ""WikidataId"": ""Q3884"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [172], ""SurfaceForms"": [""Amazon""]}, {""Label"": ""Wi-Fi"", ""Type"": ""J"", ""WikidataId"": ""Q29643"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [149], ""SurfaceForms"": [""Wi-Fi""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.924, ""OccurrenceOffsets"": [91], ""SurfaceForms"": [""America""]}]"
32709,N21509,video,animals,Bizarre Mouse-Deer Species Not Seen In 30 Years Spotted On Trail Camera,Scientists were recently stunned and overjoyed to spot an especially rare silver-backed chevrotain on trail camera footage taken in Vietnam.,https://assets.msn.com/labs/mind/BBWAISe.html,[],"[{""Label"": ""Vietnam"", ""Type"": ""G"", ""WikidataId"": ""Q1741"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [132], ""SurfaceForms"": [""Vietnam""]}]"
32718,N58410,tv,tv-celebrity,Tristan Thompson Gushes Over Ex Khloe Kardashian After Her People's Choice Win,Khloe's ex and the father of her child raved about her in an Instagram post.,https://assets.msn.com/labs/mind/BBWAITA.html,"[{""Label"": ""Khlo\u00e9 Kardashian"", ""Type"": ""P"", ""WikidataId"": ""Q231270"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Khloe Kardashian""]}, {""Label"": ""Tristan Thompson"", ""Type"": ""P"", ""WikidataId"": ""Q973212"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Tristan Thompson""]}]","[{""Label"": ""Khlo\u00e9 Kardashian"", ""Type"": ""P"", ""WikidataId"": ""Q231270"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Khloe""]}, {""Label"": ""Instagram"", ""Type"": ""W"", ""WikidataId"": ""Q209330"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Instagram""]}]"
32763,N54666,lifestyle,lifestyleroyals,Kate Middleton's Maroon Trousers Gave Her a Pop of Color During Her Charity Outing,Kate Middleton rocked some eye-catching statement trousers during a recent charity visit that were absolutely perfect for fall.,https://assets.msn.com/labs/mind/BBWE5VG.html,"[{""Label"": ""Catherine, Duchess of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q10479"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kate Middleton""]}]","[{""Label"": ""Catherine, Duchess of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q10479"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kate Middleton""]}]"
32831,N45551,travel,travelnews,Hyatt is eliminating travel-sized plastic toiletries,"Hyatt is the latest international hotel brand to ditch travel-sized toiletries from its rooms, following Holiday Inn-owner InterContinental Group and Marriott International.",https://assets.msn.com/labs/mind/BBWE6B0.html,"[{""Label"": ""Hyatt"", ""Type"": ""O"", ""WikidataId"": ""Q1425063"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Hyatt""]}]","[{""Label"": ""Hyatt"", ""Type"": ""O"", ""WikidataId"": ""Q1425063"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Hyatt""]}, {""Label"": ""Marriott International"", ""Type"": ""O"", ""WikidataId"": ""Q1141173"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [150], ""SurfaceForms"": [""Marriott International""]}]"
32960,N6477,finance,finance-companies,"Walmart releases Black Friday ad with $129 Apple Watch, TV deals, electronics doorbusters","Walmart's Black Friday 2019 ad includes a 40-inch TV for $98, Apple iPad for $249, Xbox One, Playstation 4, deals on toys, Instant Pot and more.",https://assets.msn.com/labs/mind/BBWJDto.html,"[{""Label"": ""Walmart"", ""Type"": ""O"", ""WikidataId"": ""Q483551"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Walmart""]}, {""Label"": ""Black Friday (shopping)"", ""Type"": ""H"", ""WikidataId"": ""Q86483"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Black Friday""]}, {""Label"": ""Apple Watch"", ""Type"": ""U"", ""WikidataId"": ""Q18010946"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [43], ""SurfaceForms"": [""Apple Watch""]}]","[{""Label"": ""Walmart"", ""Type"": ""O"", ""WikidataId"": ""Q483551"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Walmart""]}, {""Label"": ""Black Friday (shopping)"", ""Type"": ""H"", ""WikidataId"": ""Q86483"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Black Friday""]}, {""Label"": ""Instant Pot"", ""Type"": ""U"", ""WikidataId"": ""Q48989064"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [123], ""SurfaceForms"": [""Instant Pot""]}, {""Label"": ""IPad"", ""Type"": ""J"", ""WikidataId"": ""Q2796"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Apple iPad""]}, {""Label"": ""Xbox One"", ""Type"": ""U"", ""WikidataId"": ""Q13361286"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [83], ""SurfaceForms"": [""Xbox One""]}, {""Label"": ""PlayStation 4"", ""Type"": ""J"", ""WikidataId"": ""Q5014725"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [93], ""SurfaceForms"": [""Playstation 4""]}]"
33052,N24111,music,music-celebrity,Kanye West is teaming up with pastor Joel Osteen: Details,The rapper and the megachurch leader are planning to speak together at Houston's Lakewood Church.,https://assets.msn.com/labs/mind/BBWE7kh.html,"[{""Label"": ""Joel Osteen"", ""Type"": ""P"", ""WikidataId"": ""Q468048"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""Joel Osteen""]}, {""Label"": ""Kanye West"", ""Type"": ""P"", ""WikidataId"": ""Q15935"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kanye West""]}]","[{""Label"": ""Lakewood Church"", ""Type"": ""F"", ""WikidataId"": ""Q72176"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [81], ""SurfaceForms"": [""Lakewood Church""]}, {""Label"": ""Houston"", ""Type"": ""G"", ""WikidataId"": ""Q16555"", ""Confidence"": 0.971, ""OccurrenceOffsets"": [71], ""SurfaceForms"": [""Houston""]}]"
33087,N32589,video,viral,Motorcyclist walks head-first into lamppost after covering his bike,"Embarrassing moment motorcyclist in Putney, London, walks head-first into lamppost after putting the cover on his bike",https://assets.msn.com/labs/mind/BBWE7uE.html,[],"[{""Label"": ""Putney"", ""Type"": ""G"", ""WikidataId"": ""Q2465220"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Putney, London""]}]"
33186,N4936,autos,autosenthusiasts,Lance Altimeter Is A Delicious Drop-In Truck Camper Debuting At SEMA,The all-in-one Overlanding package sleeps four and is fully equipped for an off-grid weekend.,https://assets.msn.com/labs/mind/BBWu3VJ.html,"[{""Label"": ""SEMA"", ""Type"": ""U"", ""WikidataId"": ""Q7389710"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [64], ""SurfaceForms"": [""SEMA""]}]",[]
33249,N34998,sports,football_ncaa,"Heisman Watch: Joe Burrow is the frontrunner, and there's not a close second",,https://assets.msn.com/labs/mind/BBWE9CR.html,"[{""Label"": ""Joe Burrow"", ""Type"": ""N"", ""WikidataId"": ""Q56860229"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [15], ""SurfaceForms"": [""Joe Burrow""]}, {""Label"": ""Heisman Trophy"", ""Type"": ""B"", ""WikidataId"": ""Q1035067"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Heisman""]}]",[]
33266,N39810,sports,football_nfl,Watch: John Harbaugh shared awesome moment with Lamar Jackson,Lamar Jackson has done more this season than simply prove he is capable of being a starting quarterback in the NFL   he has turned himself into a full-blown superstar.,https://assets.msn.com/labs/mind/BBWE9Ew.html,"[{""Label"": ""John Harbaugh"", ""Type"": ""P"", ""WikidataId"": ""Q2412102"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""John Harbaugh""]}, {""Label"": ""Lamar Jackson"", ""Type"": ""P"", ""WikidataId"": ""Q24809702"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Lamar Jackson""]}]","[{""Label"": ""Lamar Jackson"", ""Type"": ""P"", ""WikidataId"": ""Q24809702"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Lamar Jackson""]}, {""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [111], ""SurfaceForms"": [""NFL""]}]"
33275,N58363,finance,finance-companies,Supreme Court refuses to block lawsuit against gun manufacturer brought by Sandy Hook families,"The Supreme Court refused to shield Remington Arms Co. from potential liability for the 2012 school shooting that left 26 dead in Newtown, Conn.",https://assets.msn.com/labs/mind/BBWE9Iw.html,"[{""Label"": ""Sandy Hook Elementary School shooting"", ""Type"": ""E"", ""WikidataId"": ""Q906933"", ""Confidence"": 0.961, ""OccurrenceOffsets"": [75], ""SurfaceForms"": [""Sandy Hook""]}]","[{""Label"": ""Remington Arms"", ""Type"": ""O"", ""WikidataId"": ""Q1122504"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Remington Arms Co.""]}, {""Label"": ""Newtown, Connecticut"", ""Type"": ""G"", ""WikidataId"": ""Q738356"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [130], ""SurfaceForms"": [""Newtown""]}, {""Label"": ""Connecticut"", ""Type"": ""G"", ""WikidataId"": ""Q779"", ""Confidence"": 0.961, ""OccurrenceOffsets"": [139], ""SurfaceForms"": [""Conn""]}]"
33323,N32182,music,cma-awards,Carrie Underwood Praises Miranda Lambert as 'Super Supportive': 'We Lift Each Other Up',Carrie Underwood Praises Miranda Lambert as 'Super Supportive',https://assets.msn.com/labs/mind/BBWE9aK.html,"[{""Label"": ""Miranda Lambert"", ""Type"": ""P"", ""WikidataId"": ""Q231233"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""Miranda Lambert""]}]","[{""Label"": ""Miranda Lambert"", ""Type"": ""P"", ""WikidataId"": ""Q231233"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""Miranda Lambert""]}]"
33355,N23877,news,newscrime,"Car of Marine linked to Virginia slaying is found in South Carolina, authorities say","A car belonging to a U.S. Marine who allegedly deserted his post last month in North Carolina -- and has been on the run since being accused of murdering his mother's boyfriend in Virginia -- has been located in South Carolina, authorities said Wednesday.",https://assets.msn.com/labs/mind/BBWJUo1.html,"[{""Label"": ""Virginia"", ""Type"": ""G"", ""WikidataId"": ""Q1370"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Virginia""]}, {""Label"": ""South Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q1456"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""South Carolina""]}]","[{""Label"": ""Virginia"", ""Type"": ""G"", ""WikidataId"": ""Q1370"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [180], ""SurfaceForms"": [""Virginia""]}, {""Label"": ""North Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q1454"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [79], ""SurfaceForms"": [""North Carolina""]}, {""Label"": ""South Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q1456"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [212], ""SurfaceForms"": [""South Carolina""]}]"
33375,N3123,lifestyle,lifestyleroyals,Stella McCartney Deleted a Meghan Markle Instagram Post After Followers Called Her Out,Stella McCartney deleted a photo of Meghan Markle on Remembrance Day following backlash from Instagram followers.,https://assets.msn.com/labs/mind/BBWE9qh.html,[],"[{""Label"": ""Remembrance Day"", ""Type"": ""H"", ""WikidataId"": ""Q27631"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""Remembrance Day""]}, {""Label"": ""Meghan, Duchess of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q3304418"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Meghan Markle""]}]"
